source,method,metric,fit_ok,a,b,c,combo_id,cohort,cancer,cancer_prefix,norm,model,off_aug,batch,data_type,model_type,title
real,LOGIS,f1_score,True,0.23757091421097382,5.956919727973799,-1.279777311202724,fivesubtypes_rna_cvae:COAD:raw:offaug_none:CVAE1-200:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,raw,CVAE1-200,offaug_none,1,miRNA,CVAE,COAD | raw | offaug_none | CVAE1-200
generated,SVM,f1_score,True,0.018562084806894703,0.8269571025211419,-0.49466908992161795,fivesubtypes_rna_cvae:COAD:raw:offaug_none:CVAE1-200:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,raw,CVAE1-200,offaug_none,1,miRNA,CVAE,COAD | raw | offaug_none | CVAE1-200
generated,SVM,accuracy,True,0.016096149161891265,0.7461987776205167,-0.467870261680855,fivesubtypes_rna_cvae:COAD:raw:offaug_none:CVAE1-200:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,raw,CVAE1-200,offaug_none,1,miRNA,CVAE,COAD | raw | offaug_none | CVAE1-200
generated,SVM,auc,True,0.006064268225234623,4.369343680693229,-1.0399464095958648,fivesubtypes_rna_cvae:COAD:raw:offaug_none:CVAE1-200:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,raw,CVAE1-200,offaug_none,1,miRNA,CVAE,COAD | raw | offaug_none | CVAE1-200
generated,KNN,f1_score,True,0.08279029453304233,1.8516294981386412,-0.7485496649090349,fivesubtypes_rna_cvae:COAD:raw:offaug_none:CVAE1-200:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,raw,CVAE1-200,offaug_none,1,miRNA,CVAE,COAD | raw | offaug_none | CVAE1-200
generated,KNN,accuracy,True,0.08002121105887887,1.3499517935138325,-0.6737374823988644,fivesubtypes_rna_cvae:COAD:raw:offaug_none:CVAE1-200:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,raw,CVAE1-200,offaug_none,1,miRNA,CVAE,COAD | raw | offaug_none | CVAE1-200
generated,KNN,auc,True,0.026336141854423185,1.338193402499362,-0.6730084018452162,fivesubtypes_rna_cvae:COAD:raw:offaug_none:CVAE1-200:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,raw,CVAE1-200,offaug_none,1,miRNA,CVAE,COAD | raw | offaug_none | CVAE1-200
generated,RF,f1_score,True,-3.659901763106862,3.8590272592452757,-0.005670813515909983,fivesubtypes_rna_cvae:COAD:raw:offaug_none:CVAE1-200:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,raw,CVAE1-200,offaug_none,1,miRNA,CVAE,COAD | raw | offaug_none | CVAE1-200
generated,RF,accuracy,True,-134.7208285357539,134.9123100544671,-0.0001504395038830293,fivesubtypes_rna_cvae:COAD:raw:offaug_none:CVAE1-200:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,raw,CVAE1-200,offaug_none,1,miRNA,CVAE,COAD | raw | offaug_none | CVAE1-200
generated,RF,auc,True,0.008126684651249662,0.6487608026591969,-0.6530115468723955,fivesubtypes_rna_cvae:COAD:raw:offaug_none:CVAE1-200:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,raw,CVAE1-200,offaug_none,1,miRNA,CVAE,COAD | raw | offaug_none | CVAE1-200
generated,XGB,f1_score,True,0.05107086245040178,1.4442607878867657,-0.7936317525038082,fivesubtypes_rna_cvae:COAD:raw:offaug_none:CVAE1-200:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,raw,CVAE1-200,offaug_none,1,miRNA,CVAE,COAD | raw | offaug_none | CVAE1-200
generated,XGB,accuracy,True,0.05066979462108451,1.2992246040489293,-0.7708224812011014,fivesubtypes_rna_cvae:COAD:raw:offaug_none:CVAE1-200:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,raw,CVAE1-200,offaug_none,1,miRNA,CVAE,COAD | raw | offaug_none | CVAE1-200
generated,XGB,auc,True,0.018369676405120175,8.040335214580669,-1.325790843784028,fivesubtypes_rna_cvae:COAD:raw:offaug_none:CVAE1-200:batch1,fivesubtypes_rna_cvae,COAD,COAD_5-2_filtered,raw,CVAE1-200,offaug_none,1,miRNA,CVAE,COAD | raw | offaug_none | CVAE1-200
